"Find","Qty","Ref Des","Part Number"
"1","1","C1","10-15pF"
"2","1","C2","0-5pf"
"3","7","C7, C8, C9, C10, C11, C12, C13","0.1uF"
"4","1","J1","Conn_02x06_Odd_Even"
"5","3","J2, J3, J5","JUMPER (1X3)"
"6","1","J4","HEADER, STRT, 2X4"
"7","1","J6","Conn_01x08"
"8","1","J7","Conn_01x06"
"10","3","R1, R2, R4","[https://www.mouser.com/ProductDetail/Xicon/299-2.7K-RC?qs=sGAEpiMZZMsPqMdJzcrNwi5wZazroUaaviDzz9InDsw%3D 2.7K]"
"11","1","SW1","PUSHBUTTON, 6MM"
"12","1","U1","68681"
"13","1","U2","[https://www.nxp.com/docs/en/reference-manual/MC68000UM.pdf MC68008D-10]"
"14","1","U3","[http://ww1.microchip.com/downloads/en/devicedoc/doc0189.pdf 27C040]"
"15","1","U4","GAL16V8"
"16","1","U5","[http://ww1.microchip.com/downloads/en/DeviceDoc/doc0321.pdf 27C010]"
"17","1","U6","[http://ww1.microchip.com/downloads/en/devicedoc/doc0570.pdf 27C020]"
"18","1","U7","[http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf 27C512]"
"19","1","U8","[https://www.mouser.com/c/?q=DS1813-5 DS1813-5 (OPT)]"
"20","1","U9","[http://ww1.microchip.com/downloads/en/DeviceDoc/doc0014.pdf 27C256]"
"21","1","U10","10 MHz"
"22","1","U11","[https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf AS6C4008-55PCN]"
"23","1","U12","[http://ww1.microchip.com/downloads/en/devicedoc/11003L.pdf 27C128]"
"24","1","U13","[http://ww1.microchip.com/downloads/en/DeviceDoc/11107M.pdf 27C64]"
"25","1","Y1","3.6864 MHz"
