Qty,Value,RefDes
1,"0.1uF, 0.2IN",C3
1,"10K, 1/4W",R1
1,74LS138,U1
1,"CONN, 2X20, FEMALE",H1
4,"CONN, 2x6, RIGHT ANGLE","J1,J2,J3,J4"
