Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,2,"U1, U2","SOCKET, 8 PIN",,9,2,U3,"SOCKET, FEMALE, 1X12"
2,1,R1,2.2K,,10,1,J1,"CONN, IDC, 2X5"
3,1,R2,10,,11,1,J2,"HEADER, STRT, 1x10"
4,1,R3,470,,12,1,J3,Conn_01x04
5,12,D1-D12,BAT41,,13,1,J4,"HEADER, STRT, 1x4"
6,4,C1-C4,0.1uF,,14,1,J5,"HEADER, STRT, 1x2"
7,1,D13,[https://www.mouser.com/ProductDetail/onsemi-Fairchild/1N4148?qs=i4Fj9T%2FoRm8RMUhj5DeFQg%3D%3D BAT41],,15,2,"U1, U2",[http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf MCP4822-E/P]
8,1,Q1,[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904],,16,1,U3,ARDUINO PRO MINI 5V
