Qty,Value,RefDes,,Qty,Value,RefDes
2,100K,"R2,R6",,3,0.1uF,C1-C3
1,150K,R3,,3,2N3904,Q1-Q3
1,470K,R1,,4,TestPoint,TP1-TP4
1,560,R4,,,,
