Qty,Value,RefDes,Footprint
1,TXS0108,U1,SOG20
2,FUSE,"F1,F2",SM1206
8,CONN_3X2,"J2-J6,J9,J11-J20",PIN_ARRAY_3X2
1,CONN_4X2,"J1,J10",pin_array_4x2
1,CONN_6X2,"J7,J8",PIN_ARRAY-6X2
1,CONN_8,P2,PIN_ARRAY-8X1
1,RASPIO,P1,"Socket, Female, 13x2"
