Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,4,"C1, C2, C4, C5",0.1uF (0805),,,1,J1,DC Jack
2,2,C3,10uF (1206),,,2,J2,"Header, Right ang, 2x10"
3,1,FB1,Ferrite Bead (0805),,,,,
