"Source:","C:\Users\HPz420\Documents\GitHub\land-boards\lb-boards\Arduino Cards\ArduinoInABox\ArduinoInABox.kicad_sch"
"Date:","5/21/2022 12:16:54 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U1","ARDUPROMINI-3.3V","ArduinoInABox-rescue:ARDUPROMINI-ArduProMiniTKB","LandBoards_BoardOutlines:ArduProMini",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BRD1","MINI-360","LandBoards_Cards:MINI-360","LandBoards_BoardOutlines:MINI-360",""
"2","1","C1","10uF","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"3","7","C2, C3, C4, C5, C6, C7, C8","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"4","1","J1","OLED_I2C","Connector_Generic:Conn_01x04","LandBoards_BoardOutlines:OLED-091in","~"
"5","2","J2, J3","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"6","4","J4, J6, J7, J8","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"7","1","J5","Conn_02x13_Odd_Even","Connector_Generic:Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","~"
"8","1","J9","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"9","1","J99","DCJ0202","LandBoards_Conns:DCJ0202","LandBoards_Conns:DCJ-NEW-Slotted",""
"10","2","L1, L2","L_Small","Device:L_Small","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"11","5","MTG1, MTG2, MTG3, MTG4, MTG5","MTG_HOLE","LandBoards_Conns:MTG_HOLE","LandBoards_MountHoles:MTG-4-40",""
"12","3","P1, P2, P3","BNC","LandBoards_Conns:BNC","LandBoards_Conns:BNC-RT-OVAL_MTG",""
"13","3","P4, P5, P6","SMA","LandBoards_Conns:BNC","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",""
"14","3","R1, R2, R3","10K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"15","2","R10, R11","2.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
