Find,Qty,Ref Des,Part Number
1,2,"C1, C2",47uF
2,4,C3-C6,2.2uF
3,1,J1,"HDR, PIN, 1X6"
4,1,J2,"CONN, IDC, SHRD, 2X5"
5,1,J3,"HDR, PIN, 1X8"
6,2,"R1, R16",6.8K
7,2,"R2, R5",24K
8,6,"R3, R6, R11, R18, R21, R22",100K
9,6,"R4, R7, R8, R14, R19, R20",47K
10,4,"R9, R10, R12, R13",10K
11,2,"R15, R17",180
12,2,"R23, R24",4.7K
13,1,U1,[http://www.ti.com/lit/ds/symlink/tl071.pdf TL074]
14,1,U2,[http://www.ti.com/lit/ds/symlink/lm13700.pdf LM13700]
