Id,Time[ns],0:I²C: Address/Data
300,14394260.00000000000000000000,Write
301,14376700.00000000000000000000,Address write: 3C
302,14396780.00000000000000000000,ACK
303,14409700.00000000000000000000,Data write: 40
304,14429780.00000000000000000000,ACK
305,14441580.00000000000000000000,Data write: 00
306,14461680.00000000000000000000,ACK
307,14473460.00000000000000000000,Data write: 00
308,14493560.00000000000000000000,ACK
309,14505340.00000000000000000000,Data write: 00
310,14525440.00000000000000000000,ACK
311,14537220.00000000000000000000,Data write: 00
312,14557320.00000000000000000000,ACK
313,14569120.00000000000000000000,Data write: 00
314,14589200.00000000000000000000,ACK
315,14601000.00000000000000000000,Data write: 00
316,14621080.00000000000000000000,ACK
317,14632880.00000000000000000000,Data write: 00
318,14652960.00000000000000000000,ACK
319,14664760.00000000000000000000,Data write: 00
320,14684840.00000000000000000000,ACK
321,14696640.00000000000000000000,Data write: 00
322,14716720.00000000000000000000,ACK
323,14728520.00000000000000000000,Data write: 00
324,14748600.00000000000000000000,ACK
325,14760400.00000000000000000000,Data write: 00
326,14780480.00000000000000000000,ACK
327,14792280.00000000000000000000,Data write: 00
328,14812380.00000000000000000000,ACK
329,14824160.00000000000000000000,Data write: 00
330,14844260.00000000000000000000,ACK
331,14856040.00000000000000000000,Data write: 00
332,14876140.00000000000000000000,ACK
333,14887920.00000000000000000000,Data write: 00
334,14908020.00000000000000000000,ACK
335,14919820.00000000000000000000,Data write: 00
336,14939900.00000000000000000000,ACK
337,14951700.00000000000000000000,Data write: 00
338,14971780.00000000000000000000,ACK
339,14983580.00000000000000000000,Data write: 00
340,15003660.00000000000000000000,ACK
341,15015460.00000000000000000000,Data write: 00
342,15035540.00000000000000000000,ACK
343,15047340.00000000000000000000,Data write: 00
344,15067420.00000000000000000000,ACK
345,15079220.00000000000000000000,Data write: 00
346,15099300.00000000000000000000,ACK
347,15111100.00000000000000000000,Data write: 00
348,15131180.00000000000000000000,ACK
349,15142980.00000000000000000000,Data write: 00
350,15163060.00000000000000000000,ACK
351,15174860.00000000000000000000,Data write: 00
352,15194960.00000000000000000000,ACK
353,15207880.00000000000000000000,Stop
354,15609680.00000000000000000000,Start
355,15638420.00000000000000000000,Write
356,15620840.00000000000000000000,Address write: 3C
357,15640920.00000000000000000000,ACK
358,15653840.00000000000000000000,Data write: 40
359,15673940.00000000000000000000,ACK
360,15685720.00000000000000000000,Data write: 00
361,15705820.00000000000000000000,ACK
362,15717600.00000000000000000000,Data write: 00
363,15737700.00000000000000000000,ACK
364,15749480.00000000000000000000,Data write: 00
365,15769580.00000000000000000000,ACK
366,15781380.00000000000000000000,Data write: 00
367,15801460.00000000000000000000,ACK
368,15813380.00000000000000000000,Data write: 00
369,15833460.00000000000000000000,ACK
370,15845260.00000000000000000000,Data write: 00
371,15865340.00000000000000000000,ACK
372,15877140.00000000000000000000,Data write: 00
373,15897240.00000000000000000000,ACK
374,15909020.00000000000000000000,Data write: 00
375,15929120.00000000000000000000,ACK
376,15940900.00000000000000000000,Data write: 00
377,15961000.00000000000000000000,ACK
378,15972780.00000000000000000000,Data write: 00
379,15992880.00000000000000000000,ACK
380,16004660.00000000000000000000,Data write: 00
381,16024760.00000000000000000000,ACK
382,16036560.00000000000000000000,Data write: 00
383,16056640.00000000000000000000,ACK
384,16068440.00000000000000000000,Data write: 00
385,16088520.00000000000000000000,ACK
386,16100320.00000000000000000000,Data write: 00
387,16120400.00000000000000000000,ACK
388,16132200.00000000000000000000,Data write: 00
389,16152280.00000000000000000000,ACK
390,16164080.00000000000000000000,Data write: 00
391,16184160.00000000000000000000,ACK
392,16195960.00000000000000000000,Data write: 00
393,16216040.00000000000000000000,ACK
394,16227840.00000000000000000000,Data write: 00
395,16247920.00000000000000000000,ACK
396,16259720.00000000000000000000,Data write: 00
397,16279820.00000000000000000000,ACK
398,16291600.00000000000000000000,Data write: 00
399,16311700.00000000000000000000,ACK
400,16323480.00000000000000000000,Data write: 00
401,16343580.00000000000000000000,ACK
402,16355360.00000000000000000000,Data write: 00
403,16375460.00000000000000000000,ACK
404,16387260.00000000000000000000,Data write: 00
405,16407340.00000000000000000000,ACK
406,16419140.00000000000000000000,Data write: 00
407,16439220.00000000000000000000,ACK
408,16452140.00000000000000000000,Stop
409,16853940.00000000000000000000,Start
410,16882680.00000000000000000000,Write
411,16865100.00000000000000000000,Address write: 3C
412,16885180.00000000000000000000,ACK
413,16898120.00000000000000000000,Data write: 40
414,16918200.00000000000000000000,ACK
415,16930000.00000000000000000000,Data write: 00
416,16950080.00000000000000000000,ACK
417,16961880.00000000000000000000,Data write: 00
418,16981960.00000000000000000000,ACK
419,16993760.00000000000000000000,Data write: 00
420,17013840.00000000000000000000,ACK
421,17025640.00000000000000000000,Data write: 00
422,17045720.00000000000000000000,ACK
423,17057520.00000000000000000000,Data write: 00
424,17077600.00000000000000000000,ACK
425,17089400.00000000000000000000,Data write: 00
426,17109480.00000000000000000000,ACK
427,17121280.00000000000000000000,Data write: 00
428,17141380.00000000000000000000,ACK
429,17153160.00000000000000000000,Data write: 00
430,17173260.00000000000000000000,ACK
431,17185040.00000000000000000000,Data write: 00
432,17205140.00000000000000000000,ACK
433,17216920.00000000000000000000,Data write: 00
434,17237020.00000000000000000000,ACK
435,17248820.00000000000000000000,Data write: 00
436,17268900.00000000000000000000,ACK
437,17280700.00000000000000000000,Data write: 00
438,17300780.00000000000000000000,ACK
439,17312580.00000000000000000000,Data write: 00
440,17332660.00000000000000000000,ACK
441,17344460.00000000000000000000,Data write: 00
442,17364540.00000000000000000000,ACK
443,17376340.00000000000000000000,Data write: 00
444,17396420.00000000000000000000,ACK
445,17408220.00000000000000000000,Data write: 00
446,17428300.00000000000000000000,ACK
447,17440100.00000000000000000000,Data write: 00
448,17460180.00000000000000000000,ACK
449,17471980.00000000000000000000,Data write: 00
450,17492080.00000000000000000000,ACK
451,17503860.00000000000000000000,Data write: 00
452,17523960.00000000000000000000,ACK
453,17535740.00000000000000000000,Data write: 00
454,17555840.00000000000000000000,ACK
455,17567620.00000000000000000000,Data write: 00
456,17587720.00000000000000000000,ACK
457,17599500.00000000000000000000,Data write: 00
458,17619600.00000000000000000000,ACK
459,17631400.00000000000000000000,Data write: 00
460,17651480.00000000000000000000,ACK
461,17663280.00000000000000000000,Data write: 00
462,17683360.00000000000000000000,ACK
463,17696280.00000000000000000000,Stop
464,17951220.00000000000000000000,Start
465,17979960.00000000000000000000,Write
466,17962380.00000000000000000000,Address write: 3C
467,17982480.00000000000000000000,ACK
468,17995400.00000000000000000000,Data write: 40
469,18015480.00000000000000000000,ACK
470,18027280.00000000000000000000,Data write: 00
471,18047360.00000000000000000000,ACK
472,18059160.00000000000000000000,Data write: 00
473,18079240.00000000000000000000,ACK
474,18091040.00000000000000000000,Data write: 00
475,18111120.00000000000000000000,ACK
476,18122920.00000000000000000000,Data write: 00
477,18143020.00000000000000000000,ACK
478,18154800.00000000000000000000,Data write: 00
479,18174900.00000000000000000000,ACK
480,18186680.00000000000000000000,Data write: 00
481,18206780.00000000000000000000,ACK
482,18218560.00000000000000000000,Data write: 00
483,18238660.00000000000000000000,ACK
484,18250460.00000000000000000000,Data write: 00
485,18270540.00000000000000000000,ACK
486,18283460.00000000000000000000,Stop
487,18505760.00000000000000000000,Start
488,18534500.00000000000000000000,Write
489,18516920.00000000000000000000,Address write: 3C
490,18537020.00000000000000000000,ACK
491,18549940.00000000000000000000,Data write: 00
492,18570020.00000000000000000000,ACK
493,18581820.00000000000000000000,Data write: 10
494,18601900.00000000000000000000,ACK
495,18614820.00000000000000000000,Stop
496,18795720.00000000000000000000,Start
497,18824460.00000000000000000000,Write
498,18806880.00000000000000000000,Address write: 3C
499,18826960.00000000000000000000,ACK
500,18840020.00000000000000000000,Data write: 00
501,18860100.00000000000000000000,ACK
502,18871900.00000000000000000000,Data write: 00
503,18891980.00000000000000000000,ACK
504,18904900.00000000000000000000,Stop
505,19088300.00000000000000000000,Start
506,19117040.00000000000000000000,Write
507,19099460.00000000000000000000,Address write: 3C
508,19119540.00000000000000000000,ACK
509,19132600.00000000000000000000,Data write: 00
510,19152680.00000000000000000000,ACK
511,19164480.00000000000000000000,Data write: B1
512,19184560.00000000000000000000,ACK
513,19197500.00000000000000000000,Stop
514,19599280.00000000000000000000,Start
515,19628020.00000000000000000000,Write
516,19610440.00000000000000000000,Address write: 3C
517,19630540.00000000000000000000,ACK
518,19643460.00000000000000000000,Data write: 40
519,19663540.00000000000000000000,ACK
520,19675340.00000000000000000000,Data write: 00
521,19695420.00000000000000000000,ACK
522,19707220.00000000000000000000,Data write: 00
523,19727300.00000000000000000000,ACK
524,19739100.00000000000000000000,Data write: 00
525,19759180.00000000000000000000,ACK
526,19770980.00000000000000000000,Data write: 00
527,19791080.00000000000000000000,ACK
528,19802860.00000000000000000000,Data write: 00
529,19822960.00000000000000000000,ACK
530,19834740.00000000000000000000,Data write: 00
531,19854840.00000000000000000000,ACK
532,19866620.00000000000000000000,Data write: 00
533,19886720.00000000000000000000,ACK
534,19898520.00000000000000000000,Data write: 00
535,19918600.00000000000000000000,ACK
536,19930520.00000000000000000000,Data write: 00
537,19950600.00000000000000000000,ACK
538,19962400.00000000000000000000,Data write: 00
539,19982480.00000000000000000000,ACK
540,19994280.00000000000000000000,Data write: 00
541,20014360.00000000000000000000,ACK
542,20026160.00000000000000000000,Data write: 00
543,20046260.00000000000000000000,ACK
544,20058040.00000000000000000000,Data write: 00
545,20078140.00000000000000000000,ACK
546,20089920.00000000000000000000,Data write: 00
547,20110020.00000000000000000000,ACK
548,20121800.00000000000000000000,Data write: 00
549,20141900.00000000000000000000,ACK
550,20153700.00000000000000000000,Data write: 00
551,20173780.00000000000000000000,ACK
552,20185580.00000000000000000000,Data write: 00
553,20205660.00000000000000000000,ACK
554,20217460.00000000000000000000,Data write: 00
555,20237540.00000000000000000000,ACK
556,20249340.00000000000000000000,Data write: 00
557,20269420.00000000000000000000,ACK
558,20281220.00000000000000000000,Data write: 00
559,20301300.00000000000000000000,ACK
560,20313100.00000000000000000000,Data write: 00
561,20333180.00000000000000000000,ACK
562,20344980.00000000000000000000,Data write: 00
563,20365060.00000000000000000000,ACK
564,20376860.00000000000000000000,Data write: 00
565,20396960.00000000000000000000,ACK
566,20408740.00000000000000000000,Data write: 00
567,20428840.00000000000000000000,ACK
568,20441760.00000000000000000000,Stop
569,20843540.00000000000000000000,Start
570,20872280.00000000000000000000,Write
571,20854720.00000000000000000000,Address write: 3C
572,20874800.00000000000000000000,ACK
573,20887720.00000000000000000000,Data write: 40
574,20907820.00000000000000000000,ACK
575,20919600.00000000000000000000,Data write: 00
576,20939700.00000000000000000000,ACK
577,20951480.00000000000000000000,Data write: 00
578,20971580.00000000000000000000,ACK
579,20983360.00000000000000000000,Data write: 00
580,21003460.00000000000000000000,ACK
581,21015260.00000000000000000000,Data write: 00
582,21035340.00000000000000000000,ACK
583,21047140.00000000000000000000,Data write: 00
584,21067220.00000000000000000000,ACK
585,21079020.00000000000000000000,Data write: 00
586,21099100.00000000000000000000,ACK
587,21110900.00000000000000000000,Data write: 00
588,21130980.00000000000000000000,ACK
589,21142780.00000000000000000000,Data write: 00
590,21162860.00000000000000000000,ACK
591,21174660.00000000000000000000,Data write: 00
592,21194740.00000000000000000000,ACK
593,21206540.00000000000000000000,Data write: 00
594,21226620.00000000000000000000,ACK
595,21238420.00000000000000000000,Data write: 00
596,21258500.00000000000000000000,ACK
597,21270300.00000000000000000000,Data write: 00
598,21290400.00000000000000000000,ACK
599,21302180.00000000000000000000,Data write: 00
600,21322280.00000000000000000000,ACK
601,21334060.00000000000000000000,Data write: 00
602,21354160.00000000000000000000,ACK
603,21365940.00000000000000000000,Data write: 00
604,21386040.00000000000000000000,ACK
605,21397840.00000000000000000000,Data write: 00
606,21417920.00000000000000000000,ACK
607,21429720.00000000000000000000,Data write: 00
608,21449800.00000000000000000000,ACK
609,21461600.00000000000000000000,Data write: 00
610,21481680.00000000000000000000,ACK
611,21493480.00000000000000000000,Data write: 00
612,21513560.00000000000000000000,ACK
613,21525360.00000000000000000000,Data write: 00
614,21545440.00000000000000000000,ACK
615,21557240.00000000000000000000,Data write: 00
616,21577320.00000000000000000000,ACK
617,21589120.00000000000000000000,Data write: 00
618,21609200.00000000000000000000,ACK
619,21621000.00000000000000000000,Data write: 00
620,21641100.00000000000000000000,ACK
621,21652880.00000000000000000000,Data write: 00
622,21672980.00000000000000000000,ACK
623,21685900.00000000000000000000,Stop
624,22099120.00000000000000000000,Start
625,22128100.00000000000000000000,Write
626,22110520.00000000000000000000,Address write: 3C
627,22130620.00000000000000000000,ACK
628,22143540.00000000000000000000,Data write: 40
629,22163620.00000000000000000000,ACK
630,22175420.00000000000000000000,Data write: 00
631,22195500.00000000000000000000,ACK
632,22207300.00000000000000000000,Data write: 00
633,22227380.00000000000000000000,ACK
634,22239180.00000000000000000000,Data write: 00
635,22259280.00000000000000000000,ACK
636,22271060.00000000000000000000,Data write: 00
637,22291160.00000000000000000000,ACK
638,22302940.00000000000000000000,Data write: 00
639,22323040.00000000000000000000,ACK
640,22334820.00000000000000000000,Data write: 00
641,22354920.00000000000000000000,ACK
642,22366720.00000000000000000000,Data write: 00
643,22386800.00000000000000000000,ACK
644,22398600.00000000000000000000,Data write: 00
645,22418680.00000000000000000000,ACK
646,22430480.00000000000000000000,Data write: 00
647,22450560.00000000000000000000,ACK
648,22462360.00000000000000000000,Data write: 00
649,22482440.00000000000000000000,ACK
650,22494240.00000000000000000000,Data write: 00
651,22514320.00000000000000000000,ACK
652,22526120.00000000000000000000,Data write: 00
653,22546200.00000000000000000000,ACK
654,22558000.00000000000000000000,Data write: 00
655,22578080.00000000000000000000,ACK
656,22589880.00000000000000000000,Data write: 00
657,22609980.00000000000000000000,ACK
658,22621760.00000000000000000000,Data write: 00
659,22641860.00000000000000000000,ACK
660,22653640.00000000000000000000,Data write: 00
661,22673740.00000000000000000000,ACK
662,22685520.00000000000000000000,Data write: 00
663,22705620.00000000000000000000,ACK
664,22717400.00000000000000000000,Data write: 00
665,22737500.00000000000000000000,ACK
666,22749300.00000000000000000000,Data write: 00
667,22769380.00000000000000000000,ACK
668,22781180.00000000000000000000,Data write: 00
669,22801260.00000000000000000000,ACK
670,22813060.00000000000000000000,Data write: 00
671,22833140.00000000000000000000,ACK
672,22844940.00000000000000000000,Data write: 00
673,22865020.00000000000000000000,ACK
674,22876820.00000000000000000000,Data write: 00
675,22896900.00000000000000000000,ACK
676,22908700.00000000000000000000,Data write: 00
677,22928780.00000000000000000000,ACK
678,22941700.00000000000000000000,Stop
679,23343500.00000000000000000000,Start
680,23372240.00000000000000000000,Write
681,23354660.00000000000000000000,Address write: 3C
682,23374760.00000000000000000000,ACK
683,23387680.00000000000000000000,Data write: 40
684,23407760.00000000000000000000,ACK
685,23419560.00000000000000000000,Data write: 00
686,23439640.00000000000000000000,ACK
687,23451440.00000000000000000000,Data write: 00
688,23471520.00000000000000000000,ACK
689,23483320.00000000000000000000,Data write: 00
690,23503420.00000000000000000000,ACK
691,23515200.00000000000000000000,Data write: 00
692,23535300.00000000000000000000,ACK
693,23547080.00000000000000000000,Data write: 00
694,23567180.00000000000000000000,ACK
695,23578960.00000000000000000000,Data write: 00
696,23599060.00000000000000000000,ACK
697,23610860.00000000000000000000,Data write: 00
698,23630940.00000000000000000000,ACK
699,23642740.00000000000000000000,Data write: 00
700,23662820.00000000000000000000,ACK
701,23674620.00000000000000000000,Data write: 00
702,23694700.00000000000000000000,ACK
703,23706500.00000000000000000000,Data write: 00
704,23726580.00000000000000000000,ACK
705,23738380.00000000000000000000,Data write: 00
706,23758460.00000000000000000000,ACK
707,23770260.00000000000000000000,Data write: 00
708,23790340.00000000000000000000,ACK
709,23802140.00000000000000000000,Data write: 00
710,23822220.00000000000000000000,ACK
711,23834020.00000000000000000000,Data write: 00
712,23854120.00000000000000000000,ACK
713,23865900.00000000000000000000,Data write: 00
714,23886000.00000000000000000000,ACK
715,23897780.00000000000000000000,Data write: 00
716,23917880.00000000000000000000,ACK
717,23929660.00000000000000000000,Data write: 00
718,23949760.00000000000000000000,ACK
719,23961560.00000000000000000000,Data write: 00
720,23981640.00000000000000000000,ACK
721,23993440.00000000000000000000,Data write: 00
722,24013520.00000000000000000000,ACK
723,24037240.00000000000000000000,Data write: 00
